2021-07-01 22:23:41 start                                   
2021-07-01 22:23:41 TLD:                                    https://www.tuwien.at
2021-07-01 22:23:41 crawled site:                           /tu-wien/organisation/zentrale-bereiche/studienabteilung/studienplaene
2021-07-01 22:23:41 temp download folder:                   temp_downloads/
2021-07-01 22:23:41 curricula folder:                       curricula/
2021-07-01 22:23:41 searchstr: 0                            BSc
2021-07-01 22:23:41 searchstr: 1                            MSc
2021-07-01 22:23:41 searchstr: 2                            Doktor
2021-07-01 22:23:41 searchstr: 3                            Erweiterungsstudium
2021-07-01 22:23:41 searchstr: 4                            Gemeinsame_Studienprogramme
2021-07-01 22:23:41 searchstr: 5                            Alte_Studienplaene
2021-07-01 22:23:41 fetching page source                    
2021-07-01 22:23:42 page crawling donw                      
2021-07-01 22:23:42 parsing page source                     
2021-07-01 22:23:42 cleanup extract_desc(&nbsp;):           Bauingenieurwesen&nbsp;
2021-07-01 22:23:42 cleanup extract_desc(&nbsp;):           Technische Chemie&nbsp;
2021-07-01 22:23:42 cleanup extract_desc(&nbsp;):           Finanz- und Versicherungsmathematik&nbsp;
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Architektur_2021__3_.pdf|Architektur
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Bauingenieurwesen_2021.pdf|Bauingenieurwesen
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Geodaesie_und_Geoinformation_2021.pdf|Geodäsie und Geoinformation
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2018/BachelorElektrotechnikundInformationstechnik.pdf|Elektrotechnik und Informationstechnik
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Medieninformatik_und_Visual_Computing_2021.pdf|Medieninformatik und Visual Computing
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Medizinische_Informatik_2021.pdf|Medizinische Informatik
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Software_and_Information_Engineering_2021.pdf|Software &amp; Information Engineering
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Technische_Informatik_2021.pdf|Technische Informatik
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Wirtschaftsinformatik_2021.pdf|Wirtschaftsinformatik
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Maschinenbau_2021.pdf|Maschinenbau
2021-07-01 22:23:42 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Wirtschaftsingenieurwesen_Maschinenbau_2021.pdf|Wirtschaftsingenieurwesen - Maschinenbau
