2025-06-28 00:00:02 start                                   
2025-06-28 00:00:02 TLD:                                    https://www.tuwien.at
2025-06-28 00:00:02 crawled site:                           /tu-wien/organisation/zentrale-bereiche/studienabteilung/studienplaene
2025-06-28 00:00:02 temp download folder:                   /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/temp_downloads/
2025-06-28 00:00:02 curricula folder:                       /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/curricula/
2025-06-28 00:00:02 searchstr: 0                            BSc
2025-06-28 00:00:02 searchstr: 1                            MSc
2025-06-28 00:00:02 searchstr: 2                            Doktor
2025-06-28 00:00:02 searchstr: 3                            Erweiterungsstudium
2025-06-28 00:00:02 searchstr: 4                            Gemeinsame_Studienprogramme
2025-06-28 00:00:02 searchstr: 5                            Alte_Studienplaene
2025-06-28 00:00:02 fetching page source                    
2025-06-28 00:00:05 page crawling donw                      
2025-06-28 00:00:05 parsing page source                     
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Architektur_2025.pdf|Architektur
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Bauingenieurwesen_2025.pdf|Bauingenieurwesen
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Technische_Chemie_2025.pdf|Technische Chemie
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Elektrotechnik_und_Informationstechnik_2025.pdf|Elektrotechnik und Informationstechnik
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Geodaesie_und_Geoinformation_2025.pdf|Geodäsie und Geoinformation
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Informatik_2025.pdf|Informatik
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Wirtschaftsinformatik_2025.pdf|Wirtschaftsinformatik
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Technische_Informatik_2025.pdf|Technische Informatik
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Maschinenbau_2025.pdf|Maschinenbau
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_WirtschaftsingenieurwesenMaschinenbau_2025.pdf|Wirtschaftsingenieurwesen - Maschinenbau
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Technische_Mathematik_2025.pdf|Technische Mathematik
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Statistik_und_Wirtschaftsmathematik_2025.pdf|Statistik und Wirtschaftsmathematik
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Finanz-_und_Versicherungsmathematik_2025.pdf|Finanz- und Versicherungsmathematik
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Technische_Physik_2025.pdf|Technische Physik
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Raumplanung_und_Raumordnung_2025.pdf|Raumplanung und Raumordnung
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Umweltingenieurwesen_2025.pdf|Umweltingenieurwesen
2025-06-28 00:00:05 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2025/Bachelorstudium_Verfahrenstechnik_2025.pdf|Verfahrenstechnik
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Architektur_2025.pdf|Architektur
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Building_Sciences_and_Environment_2025.pdf|Building Science &amp; Enviroment
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Bauingenieurwissenschaften_2025.pdf|Bauingenieurwissenschaften
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Biomedical_Engineering_2025.pdf|Biomedical Engineering
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Computational_Science_and_Engineering_2025.pdf|Computational Science and Engineering
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Elektrische_Energietechnik_und_nachhaltige_Energiesysteme_2025.pdf|Elektrische Energietechnik und nachhaltige Energiesysteme
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Information_and_Communication_Engineering_2025.pdf|Information and Communication Engineering
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Mikroelektronik_und_Photonik.pdf|Mikroelektronik und Photonik
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Automatisierung_und_Robotische_Systeme_2025.pdf|Automatisierung und Robotische Systeme
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Geodesy_and_Geoinformation_2025.pdf|Geodesy and Geoinformation
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Embedded_Computing_Systems_2025.pdf|Embedded Computing Systems
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Logic_and_Artificial_Intelligence_2025.pdf|Logic and Artificial Intelligence
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Visual_Computing_2025.pdf|Visual Computing
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Media_and_Human-Centered_Computing_2025.pdf|Media and Human-Centered Computing
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2024/Masterstudium_Medizinische_Informatik.pdf|Medizinische Informatik
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Software_Engineering.pdf|Software Engineering
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Maschinenbau_2025.pdf|Maschinenbau
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_WirtschaftsingenieurwesenMaschinenbau_2025.pdf|Wirtschaftsingenieurwesen - Maschinenbau
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Manufacturing_and_Robotics_2025.pdf|Manufacturing and Robotics
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc-Studienplaene_2025/Masterstudium_Materialwissenschaften_2025.pdf|Materialwissenschaften
2025-06-28 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2024/Masterstudium_Quantum_Information_Science_and_Technology_2024-neu.pdf|Quantum Information Science and Technology
