2022-07-05 01:42:56 start                                   
2022-07-05 01:42:56 TLD:                                    https://www.tuwien.at
2022-07-05 01:42:56 crawled site:                           /tu-wien/organisation/zentrale-bereiche/studienabteilung/studienplaene
2022-07-05 01:42:56 temp download folder:                   /home/itsme/Desktop/git_repos/TU-Wien-curricula-archive/temp_downloads/
2022-07-05 01:42:56 curricula folder:                       /home/itsme/Desktop/git_repos/TU-Wien-curricula-archive/curricula/
2022-07-05 01:42:56 searchstr: 0                            BSc
2022-07-05 01:42:56 searchstr: 1                            MSc
2022-07-05 01:42:56 searchstr: 2                            Doktor
2022-07-05 01:42:56 searchstr: 3                            Erweiterungsstudium
2022-07-05 01:42:56 searchstr: 4                            Gemeinsame_Studienprogramme
2022-07-05 01:42:56 searchstr: 5                            Alte_Studienplaene
2022-07-05 01:42:56 fetching page source                    
2022-07-05 01:42:57 page crawling donw                      
2022-07-05 01:42:57 parsing page source                     
2022-07-05 01:42:57 cleanup extract_desc(&nbsp;):           Bauingenieurwesen&nbsp;
2022-07-05 01:42:57 cleanup extract_desc(&nbsp;):           Technische Chemie&nbsp;
2022-07-05 01:42:57 cleanup extract_desc(&nbsp;):           Finanz- und Versicherungsmathematik&nbsp;
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Architektur_2021__3_.pdf|Architektur
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Bauingenieurwesen_2021.pdf|Bauingenieurwesen
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Geodaesie_und_Geoinformation_2021.pdf|Geodäsie und Geoinformation
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2018/BachelorElektrotechnikundInformationstechnik.pdf|Elektrotechnik und Informationstechnik
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Medieninformatik_und_Visual_Computing_2021.pdf|Medieninformatik und Visual Computing
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Medizinische_Informatik_2021.pdf|Medizinische Informatik
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Software_and_Information_Engineering_2021.pdf|Software &amp; Information Engineering
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Technische_Informatik_2021.pdf|Technische Informatik
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Wirtschaftsinformatik_2021.pdf|Wirtschaftsinformatik
2022-07-05 01:42:57 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Maschinenbau_2021.pdf|Maschinenbau
